Field100,,Holds,Holds,UD Latencies,UD Latencies,DD Latencies,DD Latencies
,,mean,std,mean,std,mean,std
subject,sessionIndex,,,,,,
P1101,1,128.165,25.08,286.157,261.249,415.066,252.943
P1101,2,126.227,29.335,292.723,232.876,419.694,225.979
P1101,3,112.693,21.92,293.451,193.234,406.683,189.554
P1101,4,123.011,25.017,267.606,183.891,391.658,180.463
P1101,5,119.09,22.281,242.046,169.549,362.039,167.197
P1101,6,120.867,30.736,205.961,153.894,325.951,155.25
P1101,7,109.976,17.035,237.015,159.405,345.293,156.405
P1101,8,120.416,53.026,191.102,150.134,309.351,151.792
P1102,1,132.332,20.667,317.787,327.927,450.907,329.159
P1102,2,123.421,18.163,306.023,308.689,431.211,310.47
P1102,3,120.193,17.562,280.682,272.985,401.459,274.209
P1102,4,117.661,20.051,279.008,275.99,397.643,272.39
P1102,5,129.123,42.932,311.273,295.285,440.271,294.56
P1102,6,134.669,22.575,205.035,223.45,340.074,220.514
P1102,7,141.086,23.597,201.996,229.073,343.196,227.348
P1102,8,131.874,23.11,209.074,245.976,340.975,242.127
P1103,1,118.946,30.098,192.77,226.53,312.7,221.769
P1103,2,117.928,29.986,138.419,194.634,257.9,186.252
P1103,3,111.381,28.909,142.228,188.413,256.685,184.269
P1103,4,112.298,25.901,128.146,174.482,244.06,169.351
P1103,5,109.069,23.864,104.771,143.56,217.579,141.257
P1103,6,117.002,21.875,99.134,147.628,219.533,145.212
P1103,7,114.011,23.383,103.448,157.009,221.498,156.513
P1103,8,112.731,22.526,116.105,159.656,232.586,156.002
P1104,1,104.265,19.138,-19.273,55.443,85.085,47.282
P1104,2,109.509,18.75,-11.776,64.053,97.821,55.065
P1104,3,109.324,20.804,-15.476,65.67,93.868,54.838
P1104,4,107.057,21.29,-22.099,56.373,84.89,47.16
P1104,5,106.433,18.594,-20.164,54.138,86.082,44.983
P1104,6,106.208,18.79,-23.455,52.271,82.188,43.784
P1104,7,108.124,20.372,-22.475,55.358,84.812,46.594
P1104,8,108.137,22.084,-25.162,56.145,81.196,46.117
P1106,1,74.561,16.798,176.215,179.792,247.899,183.186
P1106,2,69.294,13.93,192.308,164.014,259.802,165.73
P1106,3,67.519,14.57,136.059,111.247,201.57,111.398
P1106,4,70.566,15.25,137.221,117.291,206.042,119.086
P1106,5,71.859,12.089,121.556,105.639,192.602,105.256
P1106,6,65.527,14.737,127.144,100.225,192.028,99.39
P1106,7,68.341,9.963,113.671,96.423,182.118,96.335
P1106,8,82.508,16.716,110.125,105.626,191.265,105.778
P1107,1,70.974,30.307,261.392,209.409,335.14,205.401
P1107,2,68.485,25.239,290.149,207.876,360.376,203.279
P1107,3,65.327,22.173,252.809,164.833,319.654,164.524
P1107,4,69.29,23.349,232.324,149.348,303.568,149.493
P1107,5,70.912,23.401,206.958,138.183,279.376,137.979
P1107,6,67.927,21.151,229.85,136.152,299.577,136.181
P1107,7,72.013,44.289,218.961,130.723,293.187,129.465
P1107,8,64.616,23.61,229.268,125.925,295.919,123.032
P1108,1,81.182,14.789,289.494,335.142,371.995,334.635
P1108,2,84.238,15.197,288.534,331.067,374.603,332.54
P1108,3,85.377,13.568,197.762,237.757,284.684,238.02
P1108,4,91.92,15.972,176.467,224.419,269.98,223.049
P1108,5,92.971,19.824,181.623,252.275,276.99,252.997
P1108,6,97.039,16.895,169.291,227.865,267.965,225.731
P1108,7,92.436,17.977,162.926,218.348,257.07,217.509
P1108,8,93.128,16.857,165.411,236.244,260.413,234.352
P1109,1,98.808,22.556,70.53,121.965,171.698,114.635
P1109,2,92.567,18.438,64.904,115.071,158.755,110.949
P1109,3,93.328,21.149,58.114,107.031,153.063,99.777
P1109,4,91.055,19.454,61.124,114.293,153.891,107.481
P1109,5,91.087,18.318,54.314,98.469,146.547,91.853
P1109,6,90.888,20.499,56.522,98.163,149.016,91.817
P1109,7,93.937,19.678,46.929,88.864,142.836,85.318
P1109,8,96.411,20.427,39.92,80.941,138.206,76.144
P1110,1,110.501,34.593,275.16,404.218,387.462,400.84
P1110,2,106.696,29.142,200.114,306.536,307.497,305.355
P1110,3,106.073,28.591,214.714,307.7,321.684,308.605
P1110,4,115.145,33.69,211.892,314.202,329.034,313.082
P1110,5,109.799,25.344,148.78,174.264,259.846,173.836
P1110,6,106.45,25.711,228.946,487.534,336.585,485.886
P1110,7,106.535,28.748,142.068,166.077,249.273,163.138
P1110,8,106.421,26.172,120.306,137.3,227.53,136.696
P1111,1,128.174,31.722,208.632,328.395,338.121,322.277
P1111,2,121.988,26.776,160.286,217.546,283.881,216.612
P1111,3,120.503,29.221,136.047,201.537,258.009,198.558
P1111,4,110.014,30.817,149.692,198.266,259.322,198.697
P1111,5,114.831,25.804,114.372,183.148,230.17,186.155
P1111,6,119.298,25.577,111.503,202.413,231.723,202.266
P1111,7,115.362,25.181,107.016,172.995,224.073,170.131
P1111,8,113.771,21.966,108.143,167.711,221.803,165.551
P1112,1,83.254,23.071,173.81,195.802,258.894,199.073
P1112,2,76.295,21.637,170.761,169.559,247.951,172.345
P1112,3,83.183,23.469,189.405,243.796,273.964,244.385
P1112,4,91.944,28.507,173.115,192.603,267.166,195.088
P1112,5,96.111,34.08,174.271,191.438,272.845,194.121
P1112,6,95.266,25.798,163.879,172.22,261.6,175.853
P1112,7,79.371,21.897,181.17,211.627,262.625,213.598
P1112,8,88.076,22.542,182.661,187.741,272.527,190.0
P1113,1,73.216,19.048,196.425,1355.775,268.738,1354.862
P1113,2,68.056,17.023,117.019,127.482,184.137,124.618
P1113,3,79.453,22.59,102.465,100.842,180.71,92.408
P1113,4,75.793,20.493,101.695,99.656,175.627,94.348
P1113,5,86.785,23.115,113.281,115.481,198.793,108.251
P1113,6,76.726,20.683,107.114,103.578,183.224,98.114
P1113,7,79.23,22.091,115.717,147.824,193.256,143.421
P1113,8,74.879,17.911,109.66,100.215,183.148,96.574
P1114,1,71.201,11.377,425.752,371.717,496.843,372.119
P1114,2,74.251,14.379,367.459,298.168,442.119,299.411
P1114,3,64.317,9.718,289.002,194.333,353.317,193.521
P1114,4,69.211,11.996,309.614,214.266,378.613,211.102
P1114,5,72.342,12.667,332.277,375.52,404.96,376.151
P1114,6,74.156,13.176,342.923,267.376,416.891,265.782
P1114,7,67.567,12.064,318.999,199.509,386.355,197.008
P1114,8,72.14,12.259,328.634,241.065,401.22,241.716
P1115,1,85.567,20.268,62.034,93.95,148.974,96.081
P1115,2,83.486,21.764,63.295,95.766,149.202,97.477
P1115,3,85.575,21.197,60.062,92.626,147.988,93.752
P1115,4,84.898,23.111,49.543,84.193,136.379,83.65
P1115,5,83.449,22.226,59.533,89.208,144.653,89.144
P1115,6,85.025,20.323,61.153,89.509,148.091,88.242
P1115,7,90.615,28.113,68.848,107.131,161.699,105.175
P1115,8,88.956,22.578,70.669,108.782,162.399,106.288
P1117,1,100.726,26.087,124.795,187.627,227.403,188.025
P1117,2,100.36,27.106,83.794,132.063,185.537,129.954
P1117,3,103.417,27.841,72.465,103.752,177.648,98.341
P1117,4,119.401,30.29,56.682,115.731,177.968,108.722
P1117,5,111.145,30.492,53.48,94.825,166.207,86.964
P1117,6,119.043,32.44,31.227,88.458,152.192,82.335
P1117,7,127.71,29.278,18.892,95.394,149.581,91.938
P1117,8,121.118,31.066,16.309,108.269,139.459,103.37
P1118,1,103.29,19.941,194.69,306.862,298.604,311.651
P1118,2,91.406,29.189,119.235,166.563,210.966,169.076
P1118,3,84.311,52.144,87.132,139.984,171.433,147.103
P1118,4,82.972,59.913,74.902,96.281,158.37,114.37
P1118,5,82.341,18.936,82.365,132.817,164.397,134.054
P1118,6,89.026,21.66,95.764,165.5,185.528,171.487
P1118,7,94.692,41.191,73.191,124.603,167.22,128.573
P1118,8,100.493,252.807,92.925,158.224,183.424,164.107
P1119,1,106.773,26.606,134.28,123.201,242.563,117.88
P1119,2,103.208,23.825,127.455,98.825,231.672,95.162
P1119,3,104.521,26.007,138.298,112.271,243.879,107.961
P1119,4,86.522,21.165,144.317,121.365,231.989,117.025
P1119,5,88.599,21.788,141.412,107.632,231.56,104.467
P1119,6,106.778,23.919,127.752,99.419,236.215,95.906
P1119,7,102.094,22.739,123.992,92.922,227.529,86.468
P1119,8,110.673,25.593,122.144,102.766,234.719,98.249
P1121,1,88.461,23.651,190.307,228.597,277.719,224.027
P1121,2,105.923,88.755,132.28,185.31,231.292,193.644
P1121,3,81.212,20.556,107.419,129.095,186.629,128.789
P1121,4,72.589,19.703,130.004,152.289,200.048,150.181
P1121,5,83.576,30.406,79.681,101.774,160.506,101.826
P1121,6,78.822,19.789,82.954,117.63,160.331,117.44
P1121,7,84.442,28.804,82.307,126.911,165.238,125.62
P1121,8,82.332,21.704,73.524,116.864,153.977,114.097
P1122,1,73.09,11.639,125.3,116.564,199.266,118.44
P1122,2,76.119,14.263,113.76,91.49,191.141,93.166
P1122,3,77.11,12.34,94.955,80.173,172.453,81.768
P1122,4,71.541,11.718,105.348,99.719,177.354,100.647
P1122,5,75.012,12.388,81.734,68.503,157.525,68.429
P1122,6,81.444,15.551,82.22,74.41,164.027,72.361
P1122,7,84.127,16.541,78.873,68.538,164.268,66.346
P1122,8,84.469,16.238,74.87,70.536,160.678,68.178
P1123,1,82.269,22.566,167.573,115.556,251.544,116.273
P1123,2,80.239,23.239,126.788,102.152,208.817,98.998
P1123,3,82.491,21.762,123.008,121.781,207.74,121.231
P1123,4,79.482,19.932,111.07,104.42,192.299,102.638
P1123,5,81.387,22.835,100.752,85.225,184.619,84.376
P1123,6,82.522,25.365,94.807,86.844,179.717,83.825
P1123,7,80.39,23.671,106.359,106.617,189.32,105.159
P1123,8,83.595,19.876,89.212,91.817,173.993,87.694
P1124,1,81.162,14.658,111.629,124.716,193.417,123.055
P1124,2,98.631,17.59,109.593,125.805,208.789,126.531
P1124,3,107.961,20.703,82.27,129.424,190.744,127.388
P1124,4,94.807,18.51,83.481,105.518,178.542,104.564
P1124,5,89.844,16.464,69.565,74.15,157.975,70.432
P1124,6,105.286,19.734,59.58,81.166,164.507,79.0
P1124,7,94.45,17.214,62.465,77.129,157.72,72.714
P1124,8,93.477,18.531,100.488,144.59,194.725,144.518
P1126,1,107.213,26.424,104.52,160.826,215.078,152.174
P1126,2,104.046,25.787,101.427,161.48,208.394,152.617
P1126,3,112.724,29.263,95.674,169.893,211.883,159.817
P1126,4,109.572,33.44,91.312,156.856,205.263,147.997
P1126,5,107.265,28.532,63.329,113.037,174.129,100.934
P1126,6,108.009,29.273,75.902,155.897,187.512,148.162
P1126,7,111.906,42.153,87.691,166.136,202.838,159.64
P1126,8,113.685,30.145,82.262,145.521,198.129,133.063
P1127,1,112.725,24.445,134.165,220.221,249.366,217.899
P1127,2,103.343,27.604,98.678,175.987,206.319,170.721
P1127,3,95.008,23.828,81.078,182.667,179.73,181.929
P1127,4,95.642,25.842,77.108,147.556,176.797,145.266
P1127,5,103.811,23.751,77.113,159.403,183.868,155.548
P1127,6,90.499,23.392,67.176,136.821,159.695,133.266
P1127,7,91.729,23.554,96.823,172.23,190.71,166.922
P1127,8,99.117,22.754,75.046,172.715,177.353,170.006
P1128,1,77.546,16.188,231.775,208.266,310.04,208.715
P1128,2,88.025,17.24,140.698,112.159,228.92,113.283
P1128,3,84.927,16.156,140.941,216.651,225.82,215.987
P1128,4,84.149,15.524,125.189,84.459,209.273,82.488
P1128,5,86.36,16.142,118.544,75.023,205.466,71.045
P1128,6,86.774,16.721,114.59,71.018,201.306,66.276
P1128,7,85.224,17.77,95.877,69.773,181.374,64.248
P1128,8,92.736,16.677,104.7,84.833,197.939,81.742
P1129,1,101.725,31.318,33.069,91.207,135.675,82.908
P1129,2,103.902,30.153,23.484,67.658,127.168,59.385
P1129,3,106.909,30.597,20.082,72.177,127.407,70.318
P1129,4,103.25,25.366,17.66,66.063,120.164,60.556
P1129,5,102.979,25.727,23.184,85.148,125.926,78.532
P1129,6,102.401,26.487,17.959,65.09,120.952,60.612
P1129,7,101.653,28.422,14.073,63.898,114.643,59.512
P1129,8,102.079,35.633,16.953,68.173,117.363,60.203
P1130,1,85.668,18.485,256.45,277.161,344.09,276.542
P1130,2,86.916,18.879,175.629,182.024,264.51,181.4
P1130,3,84.323,20.666,127.445,141.119,214.113,139.002
P1130,4,93.391,19.798,112.245,125.909,208.107,123.445
P1130,5,86.003,18.055,108.202,118.924,196.326,115.239
P1130,6,84.502,17.741,104.084,126.978,190.911,126.284
P1130,7,101.287,23.824,92.73,111.431,196.571,106.794
P1130,8,94.847,31.186,87.006,107.861,183.149,99.611
P1131,1,89.135,19.973,133.021,153.952,224.169,154.421
P1131,2,91.343,22.834,154.017,188.084,248.098,183.852
P1131,3,96.156,19.275,142.627,202.664,241.635,202.211
P1131,4,111.033,24.371,192.971,235.196,308.262,231.914
P1131,5,92.316,20.299,145.42,177.956,240.398,173.775
P1131,6,96.867,23.734,150.434,187.78,250.892,181.385
P1131,7,102.987,23.965,153.831,212.651,260.301,205.279
P1131,8,101.696,23.087,151.76,196.225,257.027,187.702
P1132,1,97.834,17.216,136.355,182.145,235.931,184.622
P1132,2,96.671,21.053,102.784,148.973,201.305,152.401
P1132,3,87.983,18.255,96.437,137.305,185.961,137.755
P1132,4,94.407,17.188,82.68,115.014,179.015,118.16
P1132,5,95.987,19.242,87.001,120.978,184.558,120.055
P1132,6,97.68,18.555,87.704,107.732,186.865,108.693
P1132,7,96.106,19.078,79.146,88.853,177.269,91.603
P1132,8,93.94,20.263,76.383,108.587,172.361,109.203
P1133,1,83.375,21.067,349.698,355.741,431.465,357.647
P1133,2,69.697,19.035,300.625,246.597,369.36,246.472
P1133,3,64.957,17.633,274.556,232.052,339.751,233.272
P1133,4,66.262,19.699,266.789,220.456,332.298,220.595
P1133,5,62.453,17.729,256.067,211.156,318.444,214.562
P1133,6,63.775,17.121,245.301,200.571,308.823,201.084
P1133,7,75.769,20.956,257.201,222.375,333.172,225.344
P1133,8,67.9,20.011,247.482,222.443,314.432,224.789
P1134,1,83.944,13.178,73.646,91.817,158.672,91.452
P1134,2,87.783,15.865,58.263,87.915,146.953,83.99
P1134,3,90.197,15.98,46.813,79.255,138.427,75.461
P1134,4,88.871,12.711,38.939,68.433,128.737,65.04
P1134,5,93.129,16.226,26.134,64.37,121.775,58.019
P1134,6,87.115,14.786,36.429,73.097,124.807,69.252
