Field100,Holds,Holds,UD Latencies,UD Latencies,DD Latencies,DD Latencies
,mean,std,mean,std,mean,std
sessionIndex,,,,,,
1,98.479,32.5,206.147,342.266,304.941,341.915
2,98.758,34.952,164.101,226.056,263.064,224.922
3,99.563,47.35,144.745,210.923,244.601,211.233
4,99.378,33.804,130.856,187.027,230.741,185.759
5,100.285,36.002,124.711,198.586,225.55,197.748
6,100.46,43.315,116.557,185.532,217.504,186.026
7,100.76,34.955,111.627,163.67,212.817,161.05
8,102.199,67.945,108.575,182.676,210.968,183.933
