greyc-nislab,DD.l.e,DD.e.o,DD.o.n,DD.n.a,DD.a.r,DD.r.d,DD.d.o,DD.o.Period,DD.Space.d,DD.d.i,DD.i.c,DD.c.a,DD.a.p,DD.p.r,DD.r.i,DD.i.o
mean,362.971,387.69,389.716,327.258,317.242,264.094,332.082,361.011,396.117,317.295,392.627,283.44,422.618,363.713,337.295,174.006
std,286.83,309.81,300.468,298.037,244.007,221.751,244.035,322.23,243.138,225.109,263.543,185.944,265.942,238.251,287.823,112.777
max,4538.0,3769.0,4248.0,6646.0,3365.0,3278.0,6296.0,4391.0,2463.0,2565.0,3528.0,2433.0,3046.0,3337.0,6778.0,1583.0
min,0.0,0.0,2.0,21.0,30.0,48.0,28.0,30.0,40.0,38.0,41.0,4.0,30.0,61.0,13.0,1.0
range,4538.0,3769.0,4246.0,6625.0,3335.0,3230.0,6268.0,4361.0,2423.0,2527.0,3487.0,2429.0,3016.0,3276.0,6765.0,1582.0
skewness,5.823,3.721,4.885,9.868,4.23,5.174,7.962,4.789,2.624,3.121,3.577,4.509,2.624,4.257,9.701,4.199
kurtosis,62.834,23.267,39.574,174.539,30.829,36.836,166.28,36.455,10.773,17.911,23.402,32.835,13.259,34.068,169.793,35.047
25% quartile,188.0,193.0,240.0,151.0,192.0,182.0,169.0,205.0,248.0,167.0,240.0,192.0,240.0,213.0,169.0,102.0
50% quartile,336.0,337.0,307.0,326.0,263.0,209.0,313.0,272.0,336.0,272.0,336.0,259.0,408.0,337.0,299.5,169.0
75% quartile,444.0,471.0,443.0,425.0,377.0,254.0,417.0,389.5,448.0,401.0,467.25,318.0,507.25,434.0,450.25,211.25
mode,144.0,168.0,288.0,168.0,240.0,192.0,336.0,264.0,336.0,168.0,336.0,264.0,448.0,400.0,144.0,168.0
median,336.0,337.0,307.0,326.0,263.0,209.0,313.0,272.0,336.0,272.0,336.0,259.0,408.0,337.0,299.5,169.0
