greyc-nislab,UD.l.e,UD.e.o,UD.o.n,UD.n.a,UD.a.r,UD.r.d,UD.d.o,UD.o.Space,UD.Space.d,UD.d.i,UD.i.c,UD.c.a,UD.a.p,UD.p.r,UD.r.i,UD.i.o
mean,146.809,167.936,240.561,115.746,117.793,174.218,129.347,217.427,241.247,96.917,222.328,138.515,207.204,164.064,109.055,66.317
std,154.492,208.982,223.879,242.534,132.643,189.281,167.032,244.177,216.444,95.884,183.9,156.517,215.188,141.994,102.557,112.795
max,1356.0,2101.0,2346.0,6550.0,1515.0,2376.0,1990.0,2165.0,2372.0,960.0,1608.0,2072.0,2232.0,1302.0,1630.0,1440.0
min,-46.0,-100.0,-80.0,-63.0,-125.0,1.0,-109.0,-96.0,-79.0,-97.0,0.0,-132.0,-55.0,-62.0,-74.0,-139.0
range,1402.0,2201.0,2426.0,6613.0,1640.0,2375.0,2099.0,2261.0,2451.0,1057.0,1608.0,2204.0,2287.0,1364.0,1704.0,1579.0
skewness,2.905,4.072,3.559,18.281,2.775,5.834,4.45,3.273,3.607,3.016,2.674,3.997,2.95,2.822,4.921,3.835
kurtosis,11.852,23.224,19.647,458.616,19.285,43.646,31.193,15.44,23.06,15.674,12.436,31.03,14.343,12.906,54.093,38.675
25% quartile,55.0,64.75,138.0,41.0,37.0,106.0,46.0,95.0,119.0,40.0,101.0,65.75,73.75,75.0,52.75,-24.0
50% quartile,104.0,112.0,184.0,75.0,117.0,133.0,89.0,157.0,187.5,77.0,169.0,118.0,144.0,134.0,96.0,88.0
75% quartile,178.5,185.0,269.25,131.0,168.0,168.0,168.0,239.25,296.0,126.0,289.0,172.0,265.0,208.25,144.0,122.0
mode,24.0,64.0,168.0,96.0,168.0,96.0,1.0,96.0,168.0,72.0,112.0,96.0,72.0,72.0,96.0,120.0
median,104.0,112.0,184.0,75.0,117.0,133.0,89.0,157.0,187.5,77.0,169.0,118.0,144.0,134.0,96.0,88.0
