Lab100,Subject,"Session 1
 Mean Hold Time","Session 2
 Mean Hold Time","Session 3
 Mean Hold Time","Session 4
 Mean Hold Time","Session 5
 Mean Hold Time","Session 6
 Mean Hold Time","Session 7
 Mean Hold Time","Session 8
 Mean Hold Time"
0,s002,95.635,89.922,89.266,91.678,84.481,83.521,91.558,126.277
1,s003,116.248,109.771,114.725,120.501,121.521,129.419,147.512,149.574
2,s004,96.974,95.311,96.025,96.742,103.806,103.647,109.375,100.844
3,s005,104.795,105.557,98.997,100.319,96.724,106.453,104.485,107.955
4,s007,84.142,87.543,87.532,80.891,101.229,101.382,94.423,94.812
5,s008,99.138,95.001,92.511,90.542,89.769,96.312,95.967,88.428
6,s010,73.313,72.627,66.765,77.207,70.901,73.594,78.101,79.462
7,s011,109.587,113.251,108.215,102.121,113.772,112.926,114.995,115.322
8,s012,132.375,125.318,146.128,129.735,137.475,135.545,135.002,135.859
9,s013,76.572,76.712,74.521,73.324,76.555,80.859,79.762,87.703
10,s015,78.583,74.474,73.858,73.411,74.467,76.74,76.086,77.115
11,s017,59.469,58.686,59.57,58.543,62.992,64.458,61.395,60.973
12,s018,91.509,94.272,99.127,100.395,99.835,102.219,102.693,102.227
13,s020,103.182,112.332,111.114,109.244,93.82,106.921,101.292,121.077
14,s021,79.529,81.673,90.209,78.591,85.412,95.147,82.813,80.844
15,s022,60.7,52.33,57.128,60.248,65.52,61.089,59.438,60.595
16,s026,81.441,85.129,86.323,86.217,84.476,88.367,83.71,90.487
17,s027,97.457,103.244,102.91,99.002,93.586,101.069,106.407,93.519
18,s028,57.851,57.502,58.894,60.504,62.965,65.45,64.308,60.825
19,s029,74.932,77.603,77.712,80.003,83.073,81.336,81.561,87.419
20,s030,99.44,98.546,114.456,110.523,105.774,116.709,127.813,118.666
21,s032,77.777,87.666,85.626,86.535,93.047,100.961,107.193,98.396
22,s034,81.748,88.847,91.703,96.627,97.806,94.18,99.14,99.466
23,s035,71.14,78.816,61.492,72.157,70.024,79.875,85.872,87.101
24,s036,42.344,46.609,44.93,44.615,47.681,47.42,45.799,50.93
25,s037,94.81,97.024,92.77,97.57,89.805,90.345,84.963,77.058
26,s038,73.03,78.15,81.732,88.944,85.889,83.618,79.074,83.509
27,s040,110.905,134.538,110.519,119.368,117.372,128.058,119.309,120.609
28,s041,122.849,142.975,149.669,143.503,144.377,152.476,133.001,156.23
