parkinsons control,H.period,H.t,H.i,H.e,H.five,H.Shift.r,H.o,H.a,H.n,H.l,H.Return
mean,142.918,116.125,91.592,106.29,84.084,120.471,98.723,111.651,104.099,130.666,166.321
std,82.21,65.521,75.304,80.576,57.225,88.765,72.981,95.075,92.147,56.152,300.83
max,1869.7,1778.6,2868.9,2968.2,1557.1,3207.4,3091.2,3130.3,3124.0,1501.2,7994.5
min,1.5,24.3,1.0,1.2,0.9,1.3,1.0,28.9,2.6,1.6,32.9
range,1868.2,1754.3,2867.9,2967.0,1556.2,3206.1,3090.2,3101.4,3121.4,1499.6,7961.6
skewness,14.345,20.163,24.946,25.669,21.989,27.802,28.028,27.378,25.308,17.297,23.733
kurtosis,259.965,435.431,744.405,763.947,535.13,900.892,986.312,812.538,719.212,391.007,577.125
25% quartile,114.375,103.2,75.0,91.0,70.4,101.3,81.5,95.3,88.475,113.9,132.175
50% quartile,130.7,112.9,87.6,103.05,81.0,116.6,92.2,107.5,100.7,130.5,149.3
75% quartile,156.025,122.6,101.1,115.3,92.525,133.0,106.7,120.5,112.7,144.6,170.725
mode,111.5,115.3,83.8,104.7,73.8,127.5,86.2,113.4,90.6,130.5,166.7
median,130.7,112.9,87.6,103.05,81.0,116.6,92.2,107.5,100.7,130.5,149.3
