parkinsons control,UD.period.t,UD.t.i,UD.i.e,UD.e.five,UD.five.Shift.r,UD.Shift.r.o,UD.o.a,UD.a.n,UD.n.l,UD.l.Return
mean,36.833,16.568,49.235,129.699,241.954,67.259,45.813,1.264,-43.776,55.921
std,138.762,117.473,110.533,135.075,141.706,125.788,90.975,109.145,86.816,83.221
max,1943.2,2397.9,1689.1,1934.2,3124.0,3195.9,2054.6,3073.0,1936.0,1638.5
min,-286.1,-153.6,-1556.5,0.5,74.7,-39.0,-1645.6,-1729.1,-137.5,-214.9
range,2229.3,2551.5,3245.6,1933.7,3049.3,3234.9,3700.2,4802.1,2073.5,1853.4
skewness,6.782,10.589,7.008,6.525,11.875,14.142,8.046,13.715,15.951,8.977
kurtosis,63.52,149.955,100.983,55.071,194.741,282.092,200.905,398.646,298.851,130.167
25% quartile,-15.6,-17.1,15.1,87.375,198.675,28.5,16.7,-24.3,-59.325,17.5
50% quartile,11.7,9.8,33.45,100.3,220.4,47.0,36.6,-14.2,-50.0,40.1
75% quartile,34.0,27.4,56.425,116.6,247.0,72.35,57.5,14.025,-42.1,71.6
mode,9.7,9.6,9.7,92.4,210.0,9.8,9.7,-14.1,-48.2,9.6
median,11.7,9.8,33.45,100.3,220.4,47.0,36.6,-14.2,-50.0,40.1
