parkinsons patient,DD.period.t,DD.t.i,DD.i.e,DD.e.five,DD.five.Shift.r,DD.Shift.r.o,DD.o.a,DD.a.n,DD.n.l,DD.l.Return
mean,341.616,186.296,195.792,306.991,357.443,556.369,141.907,202.77,274.776,351.819
std,239.722,178.587,149.277,230.808,293.743,178.785,173.444,113.58,180.47,215.334
max,3562.6,2316.0,1992.9,3679.6,6934.6,3011.2,3797.8,1729.4,3726.7,6916.4
min,3.6,2.4,2.4,3.6,4.8,5.3,2.5,2.5,3.7,3.5
range,3559.0,2313.6,1990.5,3676.0,6929.8,3005.9,3795.3,1726.9,3723.0,6912.9
skewness,4.313,4.113,4.803,5.883,7.654,5.29,6.815,5.221,5.923,9.805
kurtosis,31.638,21.947,32.299,48.104,97.865,44.881,87.343,39.802,62.073,218.969
25% quartile,216.925,111.5,135.3,220.3,254.0,476.4,73.0,156.1,196.7,261.3
50% quartile,276.8,135.9,155.0,247.6,282.4,518.1,93.5,176.15,220.1,295.4
75% quartile,371.3,172.775,184.575,293.7,331.5,574.0,130.1,201.8,270.15,355.4
mode,226.0,117.6,124.1,231.9,278.5,494.0,66.8,160.3,224.6,262.8
median,276.8,135.9,155.0,247.6,282.4,518.1,93.5,176.15,220.1,295.4
