sessionIndex,,Holds,UD Latencies,DD Latencies
001,mean,91.661,66.891,157.452
001,std,34.022,111.826,107.586
001,max,461.1,8367.4,8444.4
001,min,2.1,-243.2,0.0
001,range,459.0,8610.6,8444.4
001,skewness,1.193,6.641,7.506
001,kurtosis,2.529,235.935,273.563
001,25% quartile,67.3,7.4,100.0
001,50% quartile,85.2,50.6,135.3
001,75% quartile,109.5,102.8,183.6
001,mode,67.3,-1.3,96.3
001,median,85.2,50.6,135.3
002,mean,95.16,56.635,150.5
002,std,36.113,102.125,96.375
002,max,446.1,3380.1,3440.8
002,min,1.4,-317.1,0.0
002,range,444.7,3697.2,3440.8
002,skewness,1.164,3.806,4.641
002,kurtosis,2.446,36.425,45.804
002,25% quartile,69.1,-1.1,97.7
002,50% quartile,88.7,43.3,131.6
002,75% quartile,114.3,96.0,177.5
002,mode,77.6,1.3,119.0
002,median,88.7,43.3,131.6
003,mean,92.606,49.727,141.034
003,std,36.398,94.135,87.293
003,max,1249.7,2675.0,2811.6
003,min,1.4,-1133.0,0.0
003,range,1248.3,3808.0,2811.6
003,skewness,1.357,3.47,4.499
003,kurtosis,5.736,32.64,43.997
003,25% quartile,66.5,-3.3,92.3
003,50% quartile,84.9,39.6,125.4
003,75% quartile,111.3,90.2,168.1
003,mode,69.7,1.3,92.6
003,median,84.9,39.6,125.4
004,mean,94.225,48.752,141.473
004,std,37.462,95.533,88.133
004,max,500.4,2525.2,2632.3
004,min,1.4,-404.9,0.0
004,range,499.0,2930.1,2632.3
004,skewness,1.246,3.803,4.974
004,kurtosis,2.566,41.107,56.383
004,25% quartile,67.3,-4.8,92.7
004,50% quartile,86.5,39.2,126.1
004,75% quartile,113.7,90.2,169.3
004,mode,63.9,1.3,96.3
004,median,86.5,39.2,126.1
