sessionIndex,,DD.g.r,DD.r.e,DD.e.a,DD.a.t,DD.t.space,DD.space.f,DD.f.r,DD.r.i,DD.i.e,DD.e.n,DD.n.d,DD.d.s,DD.s.space,DD.space.a,DD.a.r,DD.r.e.1,DD.e.space,DD.space.g,DD.g.o,DD.o.o,DD.o.d,DD.d.space,DD.space.t,DD.t.o,DD.o.space,DD.space.h,DD.h.a,DD.a.v,DD.v.e,DD.e.Return
001,mean,198.787,133.182,162.074,145.077,171.175,236.704,193.84,156.744,157.139,150.274,147.877,139.43,175.7,167.991,148.986,113.967,137.07,207.893,143.022,151.198,130.471,129.371,160.832,106.357,131.853,201.186,105.611,135.334,141.089,243.331
001,std,96.692,91.797,101.871,83.896,105.476,157.389,141.325,120.976,115.908,103.705,92.489,91.692,95.658,97.473,100.232,56.821,77.005,137.699,80.754,41.634,91.695,71.142,90.119,62.124,89.455,116.162,64.008,94.302,73.185,190.307
001,max,3091.6,1605.5,1909.6,1203.3,1435.0,2852.0,8444.4,1932.5,1659.2,2217.9,1499.8,2042.5,1387.0,1556.9,2155.7,935.7,1197.9,1713.0,1445.6,927.0,1407.5,1916.7,1798.4,1865.2,1492.4,2119.4,1407.1,1403.5,1634.6,3798.7
001,min,13.7,0.0,1.2,1.3,16.0,36.1,43.0,1.1,2.4,1.2,34.3,3.2,11.7,5.5,3.4,5.0,1.2,6.1,28.4,81.1,12.5,1.1,2.6,1.6,1.2,3.7,1.4,1.1,17.1,13.4
001,range,3077.9,1605.5,1908.4,1202.0,1419.0,2815.9,8401.4,1931.4,1656.8,2216.7,1465.5,2039.3,1375.3,1551.4,2152.3,930.7,1196.7,1706.9,1417.2,845.9,1395.0,1915.6,1795.8,1863.6,1491.2,2115.7,1405.7,1402.4,1617.5,3785.3
001,skewness,7.703,4.343,4.248,3.484,3.698,3.582,38.889,4.983,4.541,6.341,4.955,4.418,3.465,3.883,4.574,3.19,3.914,2.821,4.746,8.734,4.435,7.645,4.487,8.603,5.306,3.51,6.088,4.734,5.185,4.947
001,kurtosis,173.505,38.306,41.861,22.768,23.038,27.095,2207.701,43.846,30.249,70.108,38.286,52.514,21.255,27.661,54.223,28.772,32.093,12.995,41.58,112.164,29.716,123.625,42.838,164.007,53.675,27.372,79.248,37.447,60.264,50.703
001,25% quartile,160.1,76.5,95.4,95.7,111.4,145.6,158.5,98.1,105.3,104.6,104.5,81.8,122.7,115.8,84.1,76.8,93.8,126.075,99.4,134.1,85.8,97.1,113.05,76.8,83.5,136.675,72.875,87.6,98.1,139.5
001,50% quartile,200.4,104.5,147.0,126.1,146.5,188.3,183.0,126.9,127.4,128.4,125.9,114.0,154.1,144.3,125.25,100.0,124.9,164.05,124.7,146.2,110.2,118.2,145.2,97.6,114.4,178.0,97.9,117.2,129.5,194.1
001,75% quartile,229.4,177.85,206.1,171.2,197.4,264.65,208.9,173.4,160.2,161.9,157.8,185.55,195.8,185.7,193.35,144.0,160.8,235.35,161.4,161.425,141.2,145.1,181.4,122.2,158.625,223.1,124.6,157.1,168.5,282.25
