sessionIndex,stress132,UD.g.r,UD.r.e,UD.e.a,UD.a.t,UD.t.space,UD.space.f,UD.f.r,UD.r.i,UD.i.e,UD.e.n,UD.n.d,UD.d.s,UD.s.space,UD.space.a,UD.a.r,UD.r.e.1,UD.e.space,UD.space.g,UD.g.o,UD.o.o,UD.o.d,UD.d.space,UD.space.t,UD.t.o,UD.o.space,UD.space.h,UD.h.a,UD.a.v,UD.v.e,UD.e.Return
001,mean,125.87,19.848,52.919,26.713,83.813,136.154,119.055,74.891,81.146,70.35,64.749,32.623,67.675,70.009,36.732,1.36,39.325,111.425,61.263,97.119,57.701,44.725,68.467,25.367,44.209,107.801,27.752,31.326,68.594,157.738
001,std,89.955,106.494,119.487,93.532,109.861,158.376,139.724,119.094,116.747,102.689,94.005,109.91,97.581,98.218,111.646,75.726,75.856,138.498,82.311,37.351,91.97,73.427,89.38,63.95,95.741,118.72,67.065,99.797,66.363,192.532
001,max,3015.9,1429.8,1889.8,1108.3,1323.4,2735.9,8367.4,1881.8,1516.8,2162.5,1385.0,1968.6,1129.0,1472.5,2094.0,883.7,1021.7,1660.8,1364.9,757.1,1308.3,1843.9,1706.9,1715.4,1381.1,2042.4,1328.0,1347.6,1546.0,3712.4
001,min,1.2,-187.8,-207.8,-180.5,-119.9,-105.8,1.2,-117.7,-94.8,-114.4,-82.1,-163.6,-207.0,-96.9,-243.2,-157.2,-137.3,-127.0,-74.3,3.7,-87.3,-121.8,-115.4,-126.1,-157.2,-108.1,-137.2,-201.7,1.2,-74.5
001,range,3014.7,1617.6,2097.6,1288.8,1443.3,2841.7,8366.2,1999.5,1611.6,2276.9,1467.1,2132.2,1336.0,1569.4,2337.2,1040.9,1159.0,1787.8,1439.2,753.4,1395.6,1965.7,1822.3,1841.5,1538.3,2150.5,1465.2,1549.3,1544.8,3786.9
001,skewness,9.548,2.94,2.944,2.682,3.178,3.537,40.187,5.26,4.525,6.515,4.83,2.829,3.016,3.75,3.345,1.875,3.388,2.788,4.518,10.229,4.339,6.984,4.564,7.263,4.296,3.258,5.302,4.017,6.397,4.802
001,kurtosis,231.017,21.309,26.115,15.26,18.654,26.413,2308.334,48.059,29.945,74.085,37.296,26.766,16.806,27.007,35.8,10.284,26.546,13.069,38.54,137.018,28.707,111.751,45.274,127.399,39.577,25.628,67.018,30.707,83.451,48.502
001,25% quartile,91.2,-48.0,-29.8,-30.4,21.8,46.7,92.5,18.2,30.6,26.8,21.4,-42.2,14.0,18.2,-39.7,-47.0,-4.4,31.1,16.6,83.9,13.6,10.6,22.4,-5.8,-15.0,44.75,-6.1,-25.8,32.0,50.6
001,50% quartile,125.2,-21.1,31.85,5.0,64.5,89.55,112.3,47.35,54.1,50.8,45.9,-14.3,50.55,50.6,9.2,-25.1,30.5,69.9,43.0,93.6,39.4,38.3,53.5,18.2,24.7,94.4,24.15,19.6,56.85,108.75
001,75% quartile,149.8,101.0,127.775,64.375,117.775,165.15,130.2,89.7,84.9,81.1,79.1,112.9,91.8,91.8,102.5,57.075,65.8,138.4,81.7,104.2,70.5,64.1,92.0,44.9,85.0,133.7,51.2,60.7,88.0,196.4
001,mode,131.8,-31.7,-1.3,1.3,1.2,-1.1,116.3,-1.4,-1.1,1.2,1.3,-22.7,-1.3,1.3,-1.2,-20.1,-1.3,-1.1,-1.2,89.4,-1.3,-1.3,1.3,1.1,1.2,100.2,-1.4,-1.3,1.2,-1.2
001,median,125.2,-21.1,31.85,5.0,64.5,89.55,112.3,47.35,54.1,50.8,45.9,-14.3,50.55,50.6,9.2,-25.1,30.5,69.9,43.0,93.6,39.4,38.3,53.5,18.2,24.7,94.4,24.15,19.6,56.85,108.75
002,mean,123.955,14.516,41.062,15.666,66.431,113.447,118.248,55.784,75.103,52.803,63.75,27.917,55.11,58.304,24.106,-4.187,32.572,92.869,55.402,101.229,46.988,47.229,56.705,17.111,42.006,94.17,23.34,18.872,72.399,96.145
002,std,79.569,111.098,121.385,98.857,93.808,147.968,77.075,100.38,113.43,88.01,93.66,109.335,94.257,95.819,109.201,80.58,82.512,126.174,76.847,42.042,85.066,73.492,87.709,62.629,100.786,119.946,72.607,86.117,70.542,124.103
002,max,1413.4,2742.5,1850.8,1906.5,1431.5,3380.1,1759.4,1733.3,1512.9,1709.2,1427.2,1557.5,1478.4,1504.9,1500.7,2018.9,1862.9,1783.7,1387.8,1184.3,1543.5,1530.3,2507.2,1147.1,1695.2,2407.4,1747.8,1447.0,1321.6,1652.3
002,min,1.2,-281.0,-260.2,-204.0,-143.9,-148.5,1.2,-159.8,-109.7,-148.2,-88.9,-212.3,-317.1,-181.3,-298.2,-217.1,-144.7,-123.5,-82.6,30.9,-124.5,-211.3,-255.2,-287.3,-171.3,-159.7,-138.6,-202.5,1.2,-121.0
002,range,1412.2,3023.5,2111.0,2110.5,1575.4,3528.6,1758.2,1893.1,1622.6,1857.4,1516.1,1769.8,1795.5,1686.2,1798.9,2236.0,2007.6,1907.2,1470.4,1153.4,1668.0,1741.6,2762.4,1434.4,1866.5,2567.1,1886.4,1649.5,1320.4,1773.3
002,skewness,4.08,3.842,1.948,4.664,3.5,4.074,5.567,4.904,5.417,7.143,5.45,2.061,4.077,4.077,2.437,3.218,5.756,3.378,4.595,11.301,5.249,6.059,5.687,4.001,5.102,3.778,6.199,4.44,5.936,2.77
002,kurtosis,37.482,49.051,14.837,52.795,27.913,37.902,60.604,38.858,40.74,83.36,47.15,12.452,35.16,31.898,16.016,45.726,80.702,20.199,41.376,182.389,47.454,79.279,85.823,38.568,54.307,35.719,86.701,40.381,59.72,13.174
002,25% quartile,85.7,-51.5,-40.6,-37.8,12.8,33.8,93.1,9.225,31.7,16.0,22.2,-48.3,5.1,9.725,-47.6,-53.3,-13.1,24.8,14.7,87.1,6.7,12.2,12.9,-15.9,-17.9,24.0,-14.5,-30.9,35.15,20.8
002,50% quartile,127.25,-23.5,12.8,-6.7,51.0,72.3,113.4,34.6,54.1,38.6,48.0,-19.0,39.4,41.1,-5.9,-31.4,22.0,59.6,39.4,97.1,32.5,40.7,43.4,11.4,22.8,86.8,19.8,10.4,60.5,66.7
002,75% quartile,151.1,101.3,128.0,48.8,101.9,133.25,133.1,68.3,80.2,66.1,77.575,114.2,77.9,79.6,87.5,45.1,60.3,115.5,72.0,108.2,61.0,66.8,81.2,39.6,84.35,127.4,50.4,47.0,93.6,133.1
002,mode,139.5,-1.4,-1.3,1.3,1.2,1.3,111.3,-1.4,1.4,-1.3,1.3,-32.2,1.1,-1.1,1.3,-33.0,-1.3,1.3,-1.2,98.7,1.2,1.1,1.3,-1.4,1.2,1.3,-1.4,1.1,41.3,-1.2
002,median,127.25,-23.5,12.8,-6.7,51.0,72.3,113.4,34.6,54.1,38.6,48.0,-19.0,39.4,41.1,-5.9,-31.4,22.0,59.6,39.4,97.1,32.5,40.7,43.4,11.4,22.8,86.8,19.8,10.4,60.5,66.7
