stress132,H.g,H.r,H.e,H.a,H.t,H.space,H.f,H.r.1,H.i,H.e.1,H.n,H.d,H.s,H.space.1,H.a.1,H.r.2,H.e.2,H.space.2,H.g.1,H.o,H.o.1,H.d.1,H.space.3,H.t.1,H.o.2,H.space.4,H.h,H.a.2,H.v,H.e.3,H.Return
mean,87.471,116.189,116.154,121.089,90.114,102.574,74.313,82.077,74.764,80.585,83.481,110.285,111.405,99.971,116.328,114.531,98.888,97.627,83.468,53.969,72.954,86.522,92.765,84.232,91.298,96.489,81.339,107.285,102.682,90.413,82.3
std,34.063,47.606,50.601,45.024,30.418,32.453,23.552,25.511,21.97,21.835,26.065,42.513,37.225,31.146,43.588,42.539,31.638,30.796,23.247,13.985,19.723,25.43,29.328,25.384,34.752,32.607,24.477,35.254,42.684,28.621,26.878
max,366.4,1249.7,480.8,479.5,318.6,385.7,287.2,273.8,214.4,249.2,264.3,410.7,441.3,500.4,422.4,347.2,287.8,289.6,204.4,280.4,227.1,401.5,361.7,333.5,345.1,406.7,248.1,361.6,393.3,245.5,241.1
min,1.4,2.7,1.4,1.4,6.6,9.5,1.4,1.4,6.1,5.8,2.1,4.0,1.4,7.7,5.0,3.7,2.1,10.1,1.4,2.1,1.9,4.5,3.2,3.5,1.4,4.0,3.2,3.5,6.4,4.6,1.9
range,365.0,1247.0,479.4,478.1,312.0,376.2,285.8,272.4,208.3,243.4,262.2,406.7,439.9,492.7,417.4,343.5,285.7,279.5,203.0,278.3,225.2,397.0,358.5,330.0,343.7,402.7,244.9,358.1,386.9,240.9,239.2
skewness,2.043,1.407,0.803,0.658,0.783,1.257,0.938,0.461,1.035,0.686,0.899,0.765,0.647,1.04,1.047,0.424,0.812,1.181,0.589,0.681,1.033,0.869,1.013,0.685,1.044,0.822,0.875,0.626,0.971,0.623,0.974
kurtosis,5.933,10.327,0.597,0.663,0.932,3.301,3.009,0.826,1.997,1.155,1.054,0.984,1.376,2.477,2.066,-0.048,1.365,2.39,0.456,4.797,2.462,1.811,2.184,0.751,1.437,1.3,1.248,0.598,0.965,0.463,1.453
25% quartile,66.2,78.4,75.2,85.5,67.5,79.9,59.9,65.2,59.4,65.2,64.4,77.0,83.9,78.1,83.6,79.6,76.1,76.5,66.45,45.1,59.6,68.1,72.6,65.2,65.7,73.1,63.9,80.2,68.6,68.6,64.1
50% quartile,79.4,110.0,109.8,117.5,86.1,98.5,71.8,79.7,71.0,77.8,78.9,106.9,109.5,95.5,111.4,113.7,95.9,93.6,81.0,52.8,69.9,82.6,89.4,80.8,83.55,91.5,77.3,104.7,92.3,87.3,77.8
75% quartile,98.1,142.7,146.7,150.1,108.7,118.2,86.15,97.3,86.8,93.6,98.4,135.9,134.8,115.9,141.4,142.6,117.3,112.4,97.9,62.1,83.1,101.5,107.6,100.0,111.1,115.5,95.2,129.3,130.1,108.7,95.8
mode,73.1,63.1,61.0,74.7,76.8,97.9,66.0,74.7,61.0,63.9,64.9,69.7,111.6,91.3,68.9,61.0,87.1,92.9,74.7,50.7,64.4,78.4,89.2,80.5,66.8,82.6,64.4,78.4,63.9,68.9,72.6
median,79.4,110.0,109.8,117.5,86.1,98.5,71.8,79.7,71.0,77.8,78.9,106.9,109.5,95.5,111.4,113.7,95.9,93.6,81.0,52.8,69.9,82.6,89.4,80.8,83.55,91.5,77.3,104.7,92.3,87.3,77.8
