WEBGREYC,H.L,H.A,H.B,H.O,H.R,H.A.1,H.T,H.O.1,H.I,H.R.1,H.E,H.Space,H.G,H.R.2,H.E.1,H.Y,H.C
mean,85.506,92.409,83.779,85.449,97.477,96.335,87.739,101.355,95.999,112.732,108.949,102.221,97.074,103.894,100.064,81.94,88.094
std,46.678,30.616,26.036,28.31,32.551,35.57,26.477,41.845,36.085,41.048,35.443,39.85,48.207,38.319,33.694,24.438,25.366
max,442.0,889.0,681.0,1271.0,581.0,1370.0,424.0,2023.0,1965.0,1013.0,670.0,2189.0,1926.0,605.0,689.0,597.0,442.0
min,-4076.0,-40.0,-111.0,-72.0,-56.0,-71.0,-72.0,-305.0,-72.0,-16.0,1.0,-7.0,-736.0,-88.0,1.0,1.0,-32.0
range,4518.0,929.0,792.0,1343.0,637.0,1441.0,496.0,2328.0,2037.0,1029.0,669.0,2196.0,2662.0,693.0,688.0,596.0,474.0
skewness,-66.763,5.05,2.059,7.946,0.837,5.334,1.054,9.93,13.748,1.997,1.154,14.975,8.302,1.268,1.682,2.875,1.024
kurtosis,5964.02,107.359,30.995,296.794,5.308,159.25,9.393,425.335,681.968,29.954,10.263,722.063,278.404,7.856,17.688,43.485,8.193
25% quartile,72.0,74.0,69.0,70.0,75.0,73.0,71.0,77.0,75.0,82.0,82.0,80.0,71.0,78.0,79.0,68.0,72.0
50% quartile,81.0,88.0,80.0,80.0,92.5,89.0,85.0,95.0,92.0,111.0,106.0,96.0,85.0,96.0,96.0,80.0,85.0
75% quartile,100.0,110.0,96.0,100.0,119.0,117.0,104.0,122.0,115.0,139.0,130.0,119.0,111.0,127.0,120.0,96.0,104.0
mode,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,96.0,96.0,80.0,80.0,96.0,96.0,80.0,80.0
median,81.0,88.0,80.0,80.0,92.5,89.0,85.0,95.0,92.0,111.0,106.0,96.0,85.0,96.0,96.0,80.0,85.0
